,Feat_ZeroCrossing,Feat_Velocity,Feat_Max,Feat_Min,Feat_Mean,Feat_FFT1,Feat_FFT2,Feat_Entropy,Feat_RMS
0,27.0,14.15,216.0,100.0,162.07,42.09,29.37,3.37137311391678,166.72
1,41.0,24.5,195.0,52.0,118.63,69.81,12.4,3.3090335024186097,128.86
2,36.0,12.75,271.0,197.0,239.4,15.4,14.49,3.3987948318665637,239.97
3,32.0,13.9,134.0,84.0,103.37,9.17,8.0,3.394232106315188,104.09
4,21.0,11.92,175.0,84.0,125.47,29.68,25.51,3.3739259793709193,128.86
5,33.0,21.44,210.0,60.0,136.43,59.69,11.61,3.347925158339885,143.28
6,35.0,16.88,235.0,131.0,183.57,48.54,2.91,3.3834044549301865,186.79
7,66.0,26.32,277.0,57.0,198.47,79.19,54.75,3.3215180421967063,211.07
8,38.0,16.3,187.0,46.0,145.52,30.24,19.27,3.3794095674219493,151.68
9,40.0,19.37,245.0,84.0,193.58,39.38,15.19,3.3869797911225636,199.87
10,27.0,14.98,256.0,102.0,177.97,43.78,31.46,3.3697531495096396,183.16
11,15.0,15.06,260.0,79.0,162.35,62.7,27.38,3.3433016092477104,174.14
12,45.0,17.05,220.0,93.0,171.6,56.43,21.76,3.365175013780764,177.15
13,23.0,12.66,191.0,113.0,154.07,32.67,5.42,3.388880601527592,155.91
14,30.0,17.66,215.0,110.0,159.21,29.51,27.87,3.3822221871926974,162.23
15,37.0,18.04,283.0,127.0,231.58,35.82,25.1,3.386601289150703,238.18
16,40.0,17.88,189.0,94.0,141.83,31.77,19.84,3.38219812680247,144.42
17,20.0,8.44,98.0,60.0,71.7,11.27,7.48,3.3911127824552194,72.45
18,13.0,13.41,276.0,116.0,190.03,64.61,29.12,3.359041190755149,197.8
19,35.0,13.99,183.0,93.0,136.53,38.88,10.35,3.377245125364656,139.72
20,51.0,22.76,239.0,40.0,135.03,63.13,43.78,3.29757418089569,147.57
21,26.0,15.31,250.0,139.0,197.93,36.17,16.48,3.3905731699245,200.02
22,52.0,25.0,274.0,132.0,196.97,63.06,9.44,3.3741636506486095,202.15
23,86.0,30.87,281.0,120.0,210.07,69.48,13.58,3.3693467599615246,216.39
24,24.0,14.48,217.0,95.0,165.1,48.92,30.37,3.3651785673263985,170.57
25,33.0,19.45,339.0,127.0,212.71,93.62,27.87,3.3396872525808288,228.23
26,32.0,17.79,281.0,157.0,212.93,56.19,9.38,3.3831569276804174,216.77
27,39.0,13.9,138.0,66.0,98.52,24.3,15.69,3.3774743366724063,101.07
28,25.0,9.35,141.0,82.0,103.1,21.33,6.67,3.38836189014643,104.45
29,31.0,16.47,281.0,95.0,212.6,71.84,35.44,3.3539138643614215,221.53
